#SELECT * FROM minijpas.CalibTileImage
"TILE_ID","CALIB_PROCEDURE","ZPT","ERRZPT","IS_REFERENCE_METHOD"
2311,5,22.9279995,0.0399999991,1
2312,4,22.7709999,0.191,0
2312,5,22.7670002,0.0399999991,1
2313,4,22.7469997,0.182999998,0
2313,5,22.7199993,0.0399999991,1
2429,4,22.8129997,0.231000006,0
2429,5,22.8050003,0.0399999991,1
2430,4,22.4459991,0.194000006,0
2430,5,22.4459991,0.0399999991,1
2431,4,22.5470009,0.150000006,0
2431,5,22.5030003,0.0399999991,1
2432,4,22.6429996,0.163000003,0
2432,5,22.6389999,0.0399999991,1
2433,4,22.8190002,0.150000006,0
2433,5,22.7980003,0.0399999991,1
2434,4,22.4699993,0.128999993,0
2434,5,22.4200001,0.0399999991,1
2435,4,22.5709991,0.170000002,0
2435,5,22.5440006,0.0399999991,1
2436,4,22.6650009,0.175999999,0
2436,5,22.632,0.0399999991,1
2332,4,22.6660004,0.148000002,0
2332,5,22.7010002,0.0399999991,1
2333,4,22.4680004,0.238999993,0
2333,5,22.4500008,0.0399999991,1
2334,4,22.7719994,0.138999999,0
2334,5,22.7849998,0.0399999991,1
2335,4,22.6749992,0.200000003,0
2335,5,22.6569996,0.0399999991,1
2336,4,22.4209995,0.196999997,0
2336,5,22.4020004,0.0399999991,1
2337,4,21.9279995,0.156000003,0
2337,5,21.9519997,0.0399999991,1
2338,4,22.1620007,0.206,0
2338,5,22.1819992,0.0399999991,1
2380,4,22.7220001,0.261999995,0
2380,5,22.7010002,0.0399999991,1
2381,4,22.7189999,0.257999986,0
2381,5,22.7049999,0.0399999991,1
2382,4,22.9099998,0.254000008,0
2382,5,22.9260006,0.0399999991,1
2383,4,22.7999992,0.230000004,0
2383,5,22.802,0.0399999991,1
2437,4,22.7040005,0.114,0
2437,5,22.6870003,0.0399999991,1
2384,4,22.3999996,0.209000006,0
2384,5,22.3719997,0.0399999991,1
2459,4,22.4470005,0.221000001,0
2459,5,22.3899994,0.0399999991,1
2339,4,22.1200008,0.189999998,0
2339,5,22.1439991,0.0399999991,1
2370,4,22.6480007,0.221000001,0
2370,5,22.632,0.0399999991,1
2267,4,22.6450005,0.199000001,0
2267,5,22.6389999,0.0399999991,1
2289,4,22.3980007,0.105999999,0
2289,5,22.4220009,0.0399999991,1
2371,4,22.2709999,0.192000002,0
2371,5,22.2280006,0.0399999991,1
2340,4,21.8959999,0.201000005,0
2340,5,21.7929993,0.0399999991,1
2438,4,22.7779999,0.170000002,0
2438,5,22.7679996,0.0399999991,1
2460,4,22.2849998,0.270000011,0
2268,4,22.7859993,0.214000002,0
2460,5,22.1949997,0.0399999991,1
2268,5,22.7859993,0.0399999991,1
2314,4,22.8689995,0.131999999,0
2314,5,22.8560009,0.0399999991,1
2385,4,22.7830009,0.230000004,0
2385,5,22.7940006,0.0399999991,1
2372,4,22.7129993,0.261999995,0
2372,5,22.6599998,0.0399999991,1
2341,4,23.2089996,0.219999999,0
2341,5,23.1949997,0.0399999991,1
2290,4,22.177,0.217999995,0
2290,5,22.1819992,0.0399999991,1
2461,4,22.2390003,0.194999993,0
2461,5,22.1580009,0.0399999991,1
2269,4,22.4360008,0.296000004,0
2269,5,22.4459991,0.0399999991,1
2439,4,22.6630001,0.150000006,0
2439,5,22.6219997,0.0399999991,1
2386,4,22.4290009,0.221000001,0
2386,5,22.4120007,0.0399999991,1
2373,4,22.4430008,0.243000001,0
2373,5,22.3910007,0.0399999991,1
2342,4,22.0139999,0.248999998,0
2342,5,22.0470009,0.0399999991,1
2291,4,22.0450001,0.163000003,0
2291,5,22.1289997,0.0399999991,1
2270,4,22.698,0.263999999,0
2270,5,22.7059994,0.0399999991,1
2374,4,22.5629997,0.287,0
