#SELECT * FROM minijpas.TileImage
"TILE_ID","FILTER_ID","REF_TILE_ID","name","RA","DEC","hpix5","ZPT","ERRZPT","CALIB_PROCEDURE","NOISE","NOISE_RMS","ADULEVEL","ADULEVEL_RMS","NCOMBINED","TEXPOSED","EFECTIME","EXPTIME","FWHMG","FWHMG_RMS","FWHM_MIN","FWHM_MAX","FWHM_MEAN","MOFFATBETA_MEAN","ELLIPTICITY_MEAN","PIXSCALE","DATASUM","CHECKSUM","SINGLE_CATALOGUE_DATASUM","DUAL_CATALOGUE_DATASUM","DEPTH2FWHM5S","DEPTH3ARC5S","DEPTHARCSEC2","M50S","KS","M50G","KG","APER_COR_6_0","OBSERVATION_DATES"
2365,16,2406,"AEGIS003-v201912_J0520_swp",215.387923,53.1831655,2856,22.3999996,0.0399999991,5,0.0174000002,0.00120000006,0.00100000005,0.00200000009,8,960.0,921.72998,1.0,1.29900002,0.050999999,1.15109003,1.48794997,1.22615004,3.39419007,0.0175196007,0.2267,1395269728,"g5cAi5b0g5b7g5b7",3064275316,3926772210,22.5970345,22.3781643,23.4398308,21.6508007,6.13285685,20.9487972,4.50983238,-0.0439594984,20180820225001 20180819222042 20180820224739 20180819221820 20180819222505 20180820225212 20180819221611 20180819222252
2366,17,2406,"AEGIS003-v201912_J0530_swp",215.387923,53.1831655,2856,22.7070007,0.0399999991,5,0.0092000002,0.000500000024,0.00100000005,0.00100000005,12,1440.0,1125.27002,1.0,1.23699999,0.0460000001,1.11767006,1.43008006,1.28550005,5.64427996,0.0104997,0.2267,3196985636,"igOSigMQigMQigMQ",186566362,345039070,23.5446167,23.3770695,24.4387341,22.7008209,6.91493654,22.0884666,3.76710081,-0.0547268987,20180616005731 20190717230752 20190717231618 20190719224306 20180616005511 20180616010337 20190717231316 20190719224057 20180616010009 20190717231017 20190719223733 20190719224521
2367,15,2406,"AEGIS003-v201912_J0510_swp",215.387923,53.1831655,2856,22.7199993,0.0399999991,5,0.00879999995,0.000600000028,0.00100000005,0.00100000005,4,480.0,476.769989,1.0,1.125,0.0160000008,1.02353001,1.15183997,1.03623998,2.43109012,0.0157776996,0.2267,2369415077,"PAAQR9AOPAAOP7AO",4236762107,3388007628,23.8399086,23.4383316,24.4999962,22.8166161,6.93177462,22.0616989,3.55361795,-0.0616005994,20180714215859 20180714215639 20180714215431 20180714220135
2368,19,2406,"AEGIS003-v201912_J0550_swp",215.387923,53.1831655,2856,22.5919991,0.0399999991,5,0.0108000003,0.000699999975,0.00100000005,0.00100000005,9,1080.0,1045.30005,1.0,1.171,0.0480000004,1.03366995,1.61275005,1.05437005,2.23650002,0.0132493004,0.2267,1328550284,"6WEi7TCg6TCg6TCg",289633549,3768236793,23.4707241,23.0879784,24.1496449,22.2790642,6.39371061,21.6387043,3.67898989,-0.0771417022,20180728224256 20180801215245 20180801215937 20180728224050 20180728224708 20180801215725 20180728224502 20180801215451 20180801220150
2369,18,2406,"AEGIS003-v201912_J0540_swp",215.387923,53.1831655,2856,22.5020008,0.0399999991,5,0.0102000004,0.000699999975,0.00100000005,0.00100000005,4,480.0,479.070007,1.0,1.38300002,0.0359999985,1.24985003,1.76320004,1.25521004,2.28834009,0.0292559993,0.2267,1087892781,"OlH1QiF0OiF0OiF0",1859669376,1955591148,23.2534752,23.0600376,24.1217041,22.0976448,6.73193884,21.4303513,3.69820094,-0.0790866986,20180708232301 20180708232053 20180708232728 20180708232512
2279,3,2243,"AEGIS002-v201912_J0390_swp",214.828485277,52.8487225,2856,22.5690002,0.0399999991,5,0.00520000001,0.000300000014,0.00100000005,0.00100000005,12,1440.0,1106.51001,1.0,1.43900001,0.0140000004,1.31040001,1.39576995,1.32350004,2.0690999,0.0123637998,0.2267,1509512400,"F1DAH196F1AAF195",2887349364,78702819,23.9944477,23.85853,24.9201946,22.8473778,7.41426086,22.1242523,4.26413631,-0.0855707005,20190618220312 20190629001910 20180610222400 20190618220059 20190629001607 20190629002549 20180610222128 20190618215853 20190618220524 20190629002247 20180610221835 20180610222615
2303,53,2243,"AEGIS002-v201912_J0890_swp",214.828485277,52.8487225,2856,22.1049995,0.0399999991,5,0.0256999992,0.00159999996,0.00300000003,0.00400000019,8,960.0,945.200012,1.0,2.01200008,0.157000005,1.63888001,2.5438199,1.86012995,3.41206002,0.0110342,0.2267,3453156312,"4eEH6b9G4bEG4b9G",2546350880,1948640787,21.426075,21.6597061,22.7213707,20.3301544,6.39214754,19.8287487,5.04040909,-0.105264001,20181001193131 20181001193752 20181001192902 20181001193547 20181001194208 20181001192657 20181001193336 20181001194003
2304,55,2243,"AEGIS002-v201912_J0910_swp",214.828485277,52.8487225,2856,21.6760006,0.0399999991,5,0.0125000002,0.000899999985,0.0,0.00200000009,8,960.0,889.0,1.0,1.96599996,0.0500000007,1.74695003,2.26809001,1.7895,2.55137992,0.0674334988,0.2267,3744203801,"PAYJP3VGP9VGP9VG",2082394465,2513483417,21.8216629,22.0132637,23.0749283,20.5868206,5.58398008,20.0990334,4.91907597,-0.145345002,20181001201430 20181001202108 20181001202730 20181001201903 20181001202522 20181001201636 20181001202317 20181001202935
2280,32,2243,"AEGIS002-v201912_J0680_swp",214.828485277,52.8487225,2856,22.7789993,0.0399999991,5,0.0122999996,0.00079999998,0.0,0.00200000009,8,960.0,829.849976,1.0,1.18799996,0.0599999987,1.03173995,1.72986996,1.04454994,2.27399993,0.0172036998,0.2267,4054551785,"lHRWnEQTlEQTlEQT",901585859,3676953102,23.52668,23.1337757,24.1954403,22.3642788,6.50084448,21.8030682,4.37626457,-0.0824342966,20180706234843 20180706235508 20190714215427 20180706235300 20190714215210 20180706235052 20190714214947 20190714215645
2305,52,2243,"AEGIS002-v201912_J0880_swp",214.828485277,52.8487225,2856,22.1609993,0.0399999991,5,0.0208999999,0.00109999999,0.0,0.00300000003,13,1560.0,1524.15002,1.0,1.81599998,0.0860000029,1.55308998,2.15774012,1.69129002,2.63552999,0.0167922992,0.2267,2766911432,"TAN1W3L1TAL1T3L1",2030517342,291269207,21.8098564,21.9401722,23.0018387,20.6490154,6.27966213,20.1307049,4.55072403,-0.117055997,20180928205222 20181001190822 20181001191538 20181001192214 20180928205015 20181001190616 20181001191333 20181001192002 20180928204804 20180928205430 20181001191052 20181001191757 20181001192419
